City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
400,Maumere,ID,74.5,broken clouds,-8.6199,122.2111,Sylvia Hotel
401,Moussoro,TD,76.71,overcast clouds,13.6408,16.4901,Hôtel Salama
402,Paris,FR,70.09,clear sky,48.8534,2.3488,Britannique Hotel - Paris Centre
403,Breytovo,RU,64.35,broken clouds,58.2993,37.8617,"The recreation center ""Sitinsky Beach"""
405,Barra Do Garcas,BR,76.77,clear sky,-15.89,-52.2567,Pousada Tropical
406,Manosque,FR,68.45,clear sky,43.8288,5.7869,Hôtel Restaurant Campanile Manosque
407,Beachwood,US,79.0,overcast clouds,41.4645,-81.5087,Hampton Inn & Suites Cleveland-Beachwood
412,Port Hawkesbury,CA,77.92,scattered clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
413,Dandong,CN,74.95,overcast clouds,40.1292,124.3947,Yiranju Farmstay
416,Horsham,GB,64.6,clear sky,51.064,-0.3272,Springfields Hotel
422,Taltal,CL,61.56,overcast clouds,-25.4,-70.4833,Residencial Karime
423,Alto Araguaia,BR,73.31,clear sky,-17.3147,-53.2153,Araguaia Palace Hotel
425,Alofi,NU,78.69,few clouds,-19.0595,-169.9187,Taloa Heights
426,Kaspiyskiy,RU,72.18,light rain,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
427,Qostanay,KZ,61.09,scattered clouds,53.1667,63.5833,Hotel Fessla
431,Poso,ID,76.08,scattered clouds,-1.3959,120.7524,Hotel 77 Poso
432,Moron,AR,64.0,overcast clouds,-34.6534,-58.6198,Hotel Morón
435,Nizhniy Kuranakh,RU,68.36,clear sky,58.8353,125.4869,Park Pobedy
439,Gbarnga,LR,69.66,overcast clouds,6.9956,-9.4722,Passion Hotel 2
441,Zhanakorgan,KZ,78.55,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
444,Manggar,ID,79.23,overcast clouds,-2.8833,108.2667,Guest Hotel
445,Asfi,MA,70.05,clear sky,32.2994,-9.2372,Hôtel Abda
446,Timoteo,BR,65.26,clear sky,-19.5825,-42.6444,So o @jeeanfelips contem este selo
447,Barmer,IN,79.65,moderate rain,25.75,71.3833,Jain Dharamshala
448,Payo,ID,73.24,overcast clouds,-3.7508,103.6372,Mess keban agung
450,Camacari,BR,71.37,broken clouds,-12.6975,-38.3242,Sítio Blasi
458,Priyutovo,RU,60.42,clear sky,53.9,53.9333,Neftyanik
459,Alyangula,AU,70.9,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
460,Samarai,PG,77.65,overcast clouds,-10.6167,150.6667,Nuli Sapi
463,Joshimath,IN,69.98,moderate rain,30.5667,79.5667,Shivalik Camps & Resort
465,Mananjary,MG,63.37,clear sky,-21.2167,48.3333,Vahiny Lodge
470,Bemidji,US,71.69,scattered clouds,47.4736,-94.8803,Hampton Inn & Suites Bemidji
472,Flagstaff,US,77.31,light rain,35.1981,-111.6513,Drury Inn & Suites Flagstaff
473,Abhar,IR,65.1,clear sky,36.1468,49.218,مرکز تشخیص رنگ خودرو کرمی
476,Ler,SS,70.25,light rain,8.3018,30.1418,Leer Humanitarian Hub
477,Cabedelo,BR,75.87,light rain,-6.9811,-34.8339,Pousada Camboinha
478,Hay River,CA,66.18,broken clouds,60.8156,-115.7999,Ptarmigan Inn
