City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
31,Longyearbyen,SJ,2022-07-26 06:29:58,78.2186,15.6401,48.04,81,75,10.36
32,Kaeo,NZ,2022-07-26 06:29:59,-35.1,173.7833,55.33,88,56,17.31
33,Vaini,TO,2022-07-26 06:21:54,-21.2,-175.2,73.56,94,40,6.91
34,Cape Town,ZA,2022-07-26 06:20:42,-33.9258,18.4232,58.12,65,0,3.44
35,Khatanga,RU,2022-07-26 06:24:16,71.9667,102.5,79.12,32,1,3.6
36,Hovd,MN,2022-07-26 06:30:00,48.0056,91.6419,68.5,28,3,8.57
37,Beringovskiy,RU,2022-07-26 06:25:50,63.05,179.3167,47.55,82,100,8.81
38,Waipawa,NZ,2022-07-26 06:30:00,-41.4122,175.5153,51.48,96,80,3.18
39,Bluff,NZ,2022-07-26 06:21:54,-46.6,168.3333,44.8,90,100,26.73
40,Arraial Do Cabo,BR,2022-07-26 06:28:10,-22.9661,-42.0278,70.02,85,7,16.96
41,Tecoanapa,MX,2022-07-26 06:30:01,16.5167,-98.75,76.75,78,81,3.67
42,Merrill,US,2022-07-26 06:25:21,45.1805,-89.6835,60.57,97,0,0.0
43,Kalghatgi,IN,2022-07-26 06:30:01,15.1833,74.9667,80.08,66,100,8.55
44,Amalapuram,IN,2022-07-26 06:30:02,16.5833,82.0167,89.55,61,100,4.65
45,Namatanai,PG,2022-07-26 06:29:26,-3.6667,152.4333,83.82,71,44,12.26
46,Dikson,RU,2022-07-26 06:31:02,73.5069,80.5464,50.27,72,57,23.31
47,Hasaki,JP,2022-07-26 06:31:02,35.7333,140.8333,86.4,88,100,18.92
48,Moctezuma,MX,2022-07-26 06:31:03,29.8,-109.6667,70.2,86,100,3.06
49,Alcantara,BR,2022-07-26 06:31:03,-2.4089,-44.4147,80.8,90,100,6.6
50,Upernavik,GL,2022-07-26 06:31:04,72.7868,-56.1549,36.57,92,75,8.68
51,Sijunjung,ID,2022-07-26 06:31:05,-0.6876,100.9537,83.01,68,99,1.34
52,Atuona,PF,2022-07-26 06:23:18,-9.8,-139.0333,77.72,68,0,12.82
53,Faya,SA,2022-07-26 06:31:05,18.3851,42.4509,69.91,35,100,4.72
54,Aanekoski,FI,2022-07-26 06:31:06,62.6946,25.818,66.85,12,100,11.23
55,Saint-Philippe,RE,2022-07-26 06:24:36,-21.3585,55.7679,75.22,75,42,10.33
56,Saskylakh,RU,2022-07-26 06:23:19,71.9167,114.0833,79.2,51,78,7.49
57,Chichihualco,MX,2022-07-26 06:31:06,17.6833,-99.65,62.62,94,88,3.2
58,Juigalpa,NI,2022-07-26 06:31:07,12.1063,-85.3645,71.28,95,33,5.44
59,Tuktoyaktuk,CA,2022-07-26 06:22:05,69.4541,-133.0374,57.0,63,73,17.02
60,Norman Wells,CA,2022-07-26 06:25:45,65.282,-126.8329,69.84,43,75,9.22
61,Marienburg,PL,2022-07-26 06:31:08,54.0359,19.0266,68.11,77,100,11.48
62,Tiksi,RU,2022-07-26 06:22:09,71.6872,128.8694,54.39,75,76,4.9
63,Geraldton,AU,2022-07-26 06:23:22,-28.7667,114.6,66.61,34,16,8.05
64,Sorland,NO,2022-07-26 06:31:08,67.667,12.6934,57.06,82,20,16.11
65,Kaitangata,NZ,2022-07-26 06:23:20,-46.2817,169.8464,45.19,93,100,16.6
66,Leningradskiy,RU,2022-07-26 06:29:16,69.3833,178.4167,34.5,91,100,11.54
