City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Chuy,UY,-33.6971,-53.4616,58.82,98,98,5.68,overcast clouds
133,Owando,CG,-0.4819,15.8999,75.67,67,97,1.92,overcast clouds
134,Heihe,CN,50.2441,127.4902,68.58,86,99,5.3,overcast clouds
135,Hambantota,LK,6.1241,81.1185,78.4,82,97,6.35,overcast clouds
136,Port Hardy,CA,50.6996,-127.4199,73.58,68,20,11.5,few clouds
137,Sorland,NO,67.667,12.6934,49.86,81,95,15.26,overcast clouds
138,Kapaa,US,22.0752,-159.319,84.52,66,20,12.66,few clouds
139,Conde,BR,-7.2597,-34.9075,74.66,88,0,5.75,clear sky
140,Kango,GA,0.1943,10.0951,72.82,87,97,3.51,overcast clouds
141,Faya,SA,18.3851,42.4509,66.72,68,100,3.09,light rain
142,Prabumulih,ID,-3.45,104.25,74.23,92,100,3.04,overcast clouds
143,Clyde River,CA,70.4692,-68.5914,39.79,88,100,6.93,overcast clouds
144,Kungurtug,RU,50.5994,97.5228,46.36,96,98,0.96,overcast clouds
145,Luderitz,NA,-26.6481,15.1594,56.7,72,0,3.29,clear sky
146,Shahr-E Babak,IR,30.1165,55.1186,68.65,78,100,3.62,light rain
147,Klaksvik,FO,62.2266,-6.589,52.72,93,100,12.3,overcast clouds
148,Amga,RU,60.8953,131.9608,72.37,63,11,1.92,few clouds
149,Dikson,RU,73.5069,80.5464,41.25,95,91,11.18,overcast clouds
150,Ilulissat,GL,69.2167,-51.1,44.62,87,75,6.91,broken clouds
151,Kismayo,SO,-0.3582,42.5454,75.31,79,80,17.36,broken clouds
152,Tsogni,GA,-2.7942,10.0988,68.49,91,43,5.64,scattered clouds
153,Minab,IR,27.1467,57.0801,84.54,83,46,7.25,moderate rain
154,Gat,IL,31.61,34.7642,80.82,61,0,3.38,clear sky
155,Riviere-Au-Renard,CA,48.9957,-64.3971,66.49,78,91,3.06,overcast clouds
156,Panzhihua,CN,26.5851,101.7128,67.57,95,93,2.1,overcast clouds
157,Caravelas,BR,-17.7125,-39.2481,69.37,81,4,3.67,clear sky
158,Mayumba,GA,-3.432,10.6554,69.75,87,86,5.57,overcast clouds
159,Ostersund,SE,63.1792,14.6357,48.65,81,100,13.8,overcast clouds
160,Haimen,CN,23.1935,116.6142,80.49,81,62,3.83,broken clouds
161,Kudahuvadhoo,MV,2.6708,72.8944,82.22,75,97,14.52,overcast clouds
162,Alikovo,RU,55.7383,46.7549,61.29,84,29,4.85,scattered clouds
163,Zhezkazgan,KZ,47.8043,67.7144,72.68,49,0,7.63,clear sky
164,Mezen,RU,65.8522,44.24,64.72,76,66,8.79,broken clouds
165,Banda Aceh,ID,5.5577,95.3222,77.63,82,99,5.75,overcast clouds
166,Bathsheba,BB,13.2167,-59.5167,80.06,92,75,24.16,broken clouds
167,Calabozo,VE,8.9242,-67.4293,82.0,74,72,4.76,broken clouds
168,Sur,OM,22.5667,59.5289,81.32,73,29,17.69,scattered clouds
169,Norman Wells,CA,65.282,-126.8329,68.13,37,98,0.87,overcast clouds
170,Pevek,RU,69.7008,170.3133,34.88,90,100,3.94,overcast clouds
171,Nouakchott,MR,18.0858,-15.9785,82.33,83,59,21.45,broken clouds
172,Lavrentiya,RU,65.5833,-171.0,40.95,85,100,7.07,overcast clouds
173,Grand-Lahou,CI,5.1367,-5.0242,75.49,87,97,12.84,overcast clouds
174,Lincoln,US,40.8,-96.667,90.9,40,0,5.99,clear sky
175,Dunedin,NZ,-45.8742,170.5036,44.8,91,100,3.0,overcast clouds
176,Hasaki,JP,35.7333,140.8333,81.28,87,100,11.41,overcast clouds
177,Guerrero Negro,MX,27.9769,-114.0611,78.96,54,47,14.74,scattered clouds
178,Kochi,IN,9.9399,76.2602,76.01,91,99,1.63,overcast clouds
179,Shelburne,CA,44.0787,-80.2041,74.75,51,75,11.25,broken clouds
180,Mayo,US,38.8876,-76.5119,89.37,79,75,5.99,broken clouds
181,Olafsvik,IS,64.8945,-23.7142,50.65,81,79,20.78,broken clouds
182,Lompoc,US,34.6391,-120.4579,87.01,72,0,14.0,clear sky
183,Geraldton,AU,-28.7667,114.6,57.61,67,100,10.36,overcast clouds
184,Bethel,US,41.3712,-73.414,84.36,59,20,9.22,few clouds
185,Fairbanks,US,64.8378,-147.7164,58.08,74,75,10.36,moderate rain
186,Kelvington,CA,52.1667,-103.5343,62.15,61,83,10.8,broken clouds
187,Qaqortoq,GL,60.7167,-46.0333,43.47,82,39,2.93,scattered clouds
188,Kuminskiy,RU,58.6667,66.5667,53.15,82,100,6.22,overcast clouds
189,Matara,LK,5.9485,80.5353,75.25,91,97,6.64,overcast clouds
190,Vardo,NO,70.3705,31.1107,58.98,88,75,11.5,broken clouds
191,Maragogi,BR,-9.0122,-35.2225,72.59,88,20,7.47,few clouds
192,Vila Velha,BR,-20.3297,-40.2925,71.94,79,20,0.0,few clouds
193,Lorengau,PG,-2.0226,147.2712,83.46,74,31,10.25,scattered clouds
194,Tecalitlan,MX,19.4667,-103.3,75.65,71,100,2.59,overcast clouds
195,Esperance,AU,-33.8667,121.9,51.96,71,19,15.41,few clouds
196,Kemijarvi,FI,66.7131,27.4306,55.22,89,59,7.27,broken clouds
197,Tual,ID,-5.6667,132.75,78.91,85,49,23.2,scattered clouds
198,Filadelfia,US,39.9523,-75.1638,87.03,62,75,8.05,broken clouds
199,Kahului,US,20.8947,-156.47,87.82,59,20,25.32,few clouds
200,Nelson Bay,AU,-32.7167,152.15,52.0,84,5,8.99,clear sky
201,Tautira,PF,-17.7333,-149.15,77.9,74,81,24.16,broken clouds
202,Umm Lajj,SA,25.0213,37.2685,88.16,47,99,4.23,overcast clouds
